CNPJ_CIA,DATA_INI,TICKER
12.091.809/0001-55,09/11/2020,RRRP3
01.851.771/0001-55,30/05/1997,QVQP3B
12.528.708/0001-07,09/11/2020,AERI3
12.528.708/0001-07,09/11/2020,AERI3
37.663.076/0001-07,18/03/2021,AESB3
10.338.320/0001-00,24/09/2010,AFLT3
21.240.146/0001-84,19/03/2021,AGXY3
17.167.396/0001-69,20/07/1977,RPAD3
17.167.396/0001-69,20/07/1977,RPAD5
17.167.396/0001-69,20/07/1977,RPAD6
05.878.397/0001-32,01/02/2011,ALSO3
05.878.397/0001-32,01/02/2011,ALSO3
20.247.322/0001-47,25/11/2020,ALLD3
20.247.322/0001-47,25/11/2020,ALLD3
60.537.263/0001-66,13/05/2020,ALPK3
60.537.263/0001-66,13/05/2020,ALPK3
61.079.117/0001-05,20/07/1977,ALPA3
61.079.117/0001-05,20/07/1977,ALPA4
61.079.117/0001-05,20/07/1977,ALPA3
61.079.117/0001-05,20/07/1977,ALPA4
11.721.921/0001-60,28/10/2010,APER3
16.811.931/0001-00,05/11/2020,AVLL3
08.364.948/0001-38,18/06/2008,ALUP11
08.364.948/0001-38,18/06/2008,ALUP3
08.364.948/0001-38,18/06/2008,ALUP4
07.526.557/0001-00,30/10/2013,ABEV3
07.526.557/0001-00,30/10/2013,ABEV3
12.648.266/0001-24,15/05/2020,AMBP3
12.648.266/0001-24,15/05/2020,AMBP3
00.776.574/0001-56,26/07/2007,AMER3
33.050.071/0001-58,15/08/1969,CBEE3
09.288.252/0001-32,24/10/2013,ANIM3
16.590.234/0001-76,31/01/2011,ARZZ3
00.242.184/0001-04,26/07/2021,ARML3
75.315.333/0001-09,18/07/2017,CRFB3
75.315.333/0001-09,18/07/2017,CRFB3
04.032.433/0001-80,29/10/2001,ATMP3
00.359.742/0001-08,28/02/1996,ATOM3
61.351.532/0001-68,20/08/1984,AZEV3
61.351.532/0001-68,20/08/1984,AZEV4
09.305.994/0001-29,07/04/2017,AZUL4
09.346.601/0001-25,11/08/2008,B3SA3
09.346.601/0001-25,11/08/2008,B3SA3
45.987.245/0001-92,02/01/1974,BAHI3
28.195.667/0001-06,23/07/2007,ABCB4
60.770.336/0001-65,20/07/1977,BRIV3
60.770.336/0001-65,20/07/1977,BRIV4
61.186.680/0001-74,14/03/1994,BMGB4
61.186.680/0001-74,17/12/2018,BMGB4
60.746.948/0001-12,20/07/1977,BBDC3
60.746.948/0001-12,20/07/1977,BBDC4
30.306.294/0001-45,10/11/2011,BPAC11
30.306.294/0001-45,10/11/2011,BPAC3
30.306.294/0001-45,10/11/2011,BPAC5
04.902.979/0001-44,20/07/1977,BAZA3
00.000.000/0001-91,20/07/1977,BBAS11
00.000.000/0001-91,20/07/1977,BBAS12
00.000.000/0001-91,20/07/1977,BBAS3
13.009.717/0001-46,20/07/1977,BGIP3
13.009.717/0001-46,20/07/1977,BGIP4
04.913.711/0001-08,20/07/1977,BPAR3
92.702.067/0001-96,20/07/1977,BRSR3
92.702.067/0001-96,20/07/1977,BRSR5
92.702.067/0001-96,20/07/1977,BRSR6
07.237.373/0001-20,20/07/1977,BNBR3
00.416.968/0001-01,26/04/2018,BIDI11
00.416.968/0001-01,26/04/2018,BIDI3
00.416.968/0001-01,26/04/2018,BIDI4
17.184.037/0001-10,20/07/1977,BMEB3
17.184.037/0001-10,20/07/1977,BMEB4
34.169.557/0001-72,20/07/1977,BMIN3
34.169.557/0001-72,20/07/1977,BMIN4
30.723.886/0001-62,28/04/2021,MODL11
30.723.886/0001-62,28/04/2021,MODL3
30.723.886/0001-62,28/04/2021,MODL4
59.285.411/0001-13,12/11/2007,BPAN4
62.144.175/0001-20,27/03/2007,PINE3
62.144.175/0001-20,27/03/2007,PINE4
90.400.888/0001-42,02/03/2007,SANB11
90.400.888/0001-42,02/03/2007,SANB3
90.400.888/0001-42,02/03/2007,SANB4
28.127.603/0001-78,20/07/1977,BEES3
28.127.603/0001-78,20/07/1977,BEES4
60.851.615/0001-53,26/11/1969,BDLL3
60.851.615/0001-53,26/11/1969,BDLL4
61.374.161/0001-30,20/05/1970,BALM3
61.374.161/0001-30,20/05/1970,BALM4
17.344.597/0001-94,25/04/2013,BBSE3
01.107.327/0001-20,27/02/2019,BBML3
09.042.817/0001-05,08/02/2021,BMOB3
02.762.124/0001-30,06/11/1998,BETP3B
56.992.423/0001-90,01/12/1971,BMKS3
04.752.991/0001-10,19/08/2002,BIOM3
13.574.594/0001-96,14/12/2017,BKBR3
58.430.828/0001-60,11/01/2019,BLAU3
60.637.238/0001-54,14/03/1985,BLUT3
60.637.238/0001-54,14/03/1985,BLUT4
10.807.374/0001-77,19/04/2021,SOJA3
11.725.176/0001-27,28/09/2020,BOAS3
50.564.053/0001-03,26/09/1984,BOBR3
50.564.053/0001-03,26/09/1984,BOBR4
10.739.356/0001-03,13/05/2021,BRBI11
06.977.745/0001-91,04/01/2006,BRML3
06.977.751/0001-49,04/01/2006,BRPR3
06.977.751/0001-49,04/01/2006,BRPR3
03.847.461/0001-92,07/08/2000,BRAP3
03.847.461/0001-92,07/08/2000,BRAP4
07.628.528/0001-59,25/04/2006,AGRO3
42.150.391/0001-70,18/12/1978,BRKM3
42.150.391/0001-70,18/12/1978,BRKM5
42.150.391/0001-70,18/12/1978,BRKM6
00.000.208/0001-00,24/09/1993,BSLI3
00.000.208/0001-00,24/09/1993,BSLI4
01.838.723/0001-27,24/06/1997,BRFS3
19.796.586/0001-70,27/07/2021,BRIT3
36.542.025/0001-64,11/01/2016,BRQB3
45.242.914/0001-05,24/10/2019,CEAB3
04.030.182/0001-02,29/10/2001,CABI3B
04.031.213/0001-31,29/10/2001,CACO3B
22.543.331/0001-00,17/12/2015,CXSE3
61.088.894/0001-08,05/01/1985,CAMB3
64.904.295/0001-03,26/09/2017,CAML3
02.846.056/0001-97,19/12/2000,CCRO3
93.828.986/0001-73,28/06/1991,MAPT3
93.828.986/0001-73,28/06/1991,MAPT4
00.001.180/0001-26,28/01/1971,ELET3
00.001.180/0001-26,28/01/1971,ELET5
00.001.180/0001-26,28/01/1971,ELET6
83.878.892/0001-55,26/03/1973,CLSC3
83.878.892/0001-55,26/03/1973,CLSC4
42.771.949/0001-35,26/10/2016,AALR3
60.933.603/0001-78,27/09/1971,CESP3
60.933.603/0001-78,27/09/1971,CESP5
60.933.603/0001-78,27/09/1971,CESP6
60.933.603/0001-78,27/09/1971,CESP3
60.933.603/0001-78,27/09/1971,CESP5
60.933.603/0001-78,27/09/1971,CESP6
82.508.433/0001-17,06/02/1998,CASN3
82.508.433/0001-17,06/02/1998,CASN4
15.139.629/0001-94,28/07/1994,CEEB3
15.139.629/0001-94,28/07/1994,CEEB5
15.139.629/0001-94,28/07/1994,CEEB6
01.938.783/0001-11,26/07/2000,PEAB3
01.938.783/0001-11,26/07/2000,PEAB4
07.047.251/0001-70,13/06/1995,COCE3
07.047.251/0001-70,13/06/1995,COCE5
07.047.251/0001-70,13/06/1995,COCE6
17.155.730/0001-64,30/06/1971,CMIG3
17.155.730/0001-64,30/06/1971,CMIG4
10.835.932/0001-08,29/04/1994,CEPE3
10.835.932/0001-08,29/04/1994,CEPE5
10.835.932/0001-08,29/04/1994,CEPE6
08.324.196/0001-81,04/01/1999,CSRN3
08.324.196/0001-81,04/01/1999,CSRN5
08.324.196/0001-81,04/01/1999,CSRN6
08.467.115/0001-00,17/04/2007,CEED3
08.467.115/0001-00,17/04/2007,CEED4
92.715.812/0001-31,07/01/1970,EEEL3
92.715.812/0001-31,07/01/1970,EEEL4
15.141.799/0001-03,28/02/1961,FESA3
15.141.799/0001-03,28/02/1961,FESA4
43.776.517/0001-80,27/06/1994,SBSP3
43.776.517/0001-80,27/06/1994,SBSP3
15.144.017/0001-90,20/07/1977,CSAB3
15.144.017/0001-90,20/07/1977,CSAB4
33.042.730/0001-04,26/02/1943,CSNA3
33.042.730/0001-04,26/02/1943,CSNA3
22.677.520/0001-76,11/02/1971,CTNM3
22.677.520/0001-76,11/02/1971,CTNM4
21.255.567/0001-89,20/12/1984,CTSA3
21.255.567/0001-89,20/12/1984,CTSA4
76.484.013/0001-45,10/03/2000,SAPR11
76.484.013/0001-45,10/03/2000,SAPR3
76.484.013/0001-45,10/03/2000,SAPR4
33.938.119/0001-69,17/11/1997,CEGR3
01.027.058/0001-91,25/06/2009,CIEL3
00.272.185/0001-93,14/03/1995,CMSA3
00.272.185/0001-93,14/03/1995,CMSA4
07.437.016/0001-05,20/07/2016,CNSY3
03.802.115/0001-98,28/07/2021,CLSA3
