Razão Social;Código
BB ETF IAGROFFS B3 FUNDO DE ÍNDICE;AGRI11
BB ETF IBOVESPA FUNDO DE ÍNDICE;BBOV11
BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE;BBSD11
BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;IBOB11
BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ES;ESGB11
BTG PACTUAL S&P 500 FUNDO DE ÍNDICE;SPXB11
BTG PACTUAL S&P/B3 INGENIUS FUNDO DE ÍNDICE;GENB11
BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;SMAB11
BTG PACTUAL TEVA AÇÕES COMMODITIES BRASIL FDO IND;CMDB11
CAIXA ETF IBOVESPA FUNDO DE INDICE;XBOV11
EMPIRICUS TEVA CRIPTOMOEDAS TOP20 FDO IND IE;CRPT11
ETF BRADESCO IBOVESPA FDO DE INDICE;BOVB11
ETF TRÍGONO TEVA AÇÕES M CAP/SMALL CAP FDO ÍNDICE;TRIG11
HASHDEX CRYPTO METAVERSE FUNDO DE ÍNDICE;META11
HASHDEX DEFI INDEX FUNDO DE ÍNDICE;DEFI11
HASHDEX NASDAQ BITCOIN REFERENCE RATE FDO. IND.;BITH11
HASHDEX NASDAQ CRYPTO INDEX FUNDO DE ÍNDICE;HASH11
HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FDO. IND.;ETHE11
HASHDEX SMART CONTRACT PLATFORMS FUNDO DE ÍNDICE;WEB311
ÍNDICE DE AÇÕES TECH BRASIL ETF FUNDO DE ÍNDICE;TECB11
INTER EQI TEVA ETF GDES GURUS DO MERCADO FDO IND;GURU11
INVESTO ETF BLUESTAR 5G COM INDEX FDO ÍNDICE IE;5GTK11
INVESTO ETF GL VI GA & ES FDO INV DE ÍNDICE IE;JOGO11
INVESTO ETF MSCI REAL ESTATE ETF FDO INDICE - IE;ALUG11
INVESTO ETF MSCI US TECHNOLOGY FDO INV IND INV EXT;USTK11
Investo FTSE Global Equities ETF FDO INDICE - IE;WRLD11
INVESTO S&P BIOTECH SEL INDUSTRY ETF FD INV IND IE;BTEK11
INVESTO VANECK METAVERSE ETF;NFTS11
ISHARES BMFBOVESPA SMALL CAP FUNDO DE ÍNDICE;SMAL11
ISHARES IBOVESPA FUNDO DE ÍNDICE;BOVA11
ISHARES IBRX - ÍNDICE BRASIL (IBRX-100) FDO ÍNDICE;BRAX11
ISHARES ÍNDICE CARBONO EFIC. (ICO2) BRASIL-FDO ÍND;ECOO11
ISHARES S&P 500 FDO INV COTAS FDO INDICE;IVVB11
IT NOW IBOVESPA FUNDO DE ÍNDICE;BOVV11
IT NOW IDIV FUNDO DE ÍNDICE;DIVO11
IT NOW IFNC FUNDO DE ÍNDICE;FIND11
IT NOW IGCT FUNDO DE ÍNDICE;GOVE11
IT NOW IMAT FUNDO DE ÍNDICE;MATB11
IT NOW ISE FUNDO DE ÍNDICE;ISUS11
IT NOW MORNINGSTAR XT US HEALTHCARE FDO. IND.;HTEK11
IT NOW MSCI USA IMI GENOMIC INNOVATION SELECT 50;DNAI11
IT NOW MSCI USA IMI MILLENIALS SELECT 50 FDO. IND.;MILL11
IT NOW NYSE FANG+TM FUNDO DE ÍNDICE;TECK11
IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;PIBB11
IT NOW RUSSELL® 1000 GREEN REVENUES 50 FDO DE IND;REVE11
IT NOW S&P® KENSHO® HYDROGEN FUNDO DE ÍNDICE;YDRO11
IT NOW S&P® KENSHO® MOONSHOTS FUNDO DE ÍNDICE;SHOT11
IT NOW S&P500 TRN FUNDO DE INDICE;SPXI11
IT NOW SMALL CAPS FDO ÍNDICE;SMAC11
QR BLOOMBERG DEFI FDO DE ÍNDICE - INV NO EXTERIOR;QDFI11
QR CME CF BITCOIN REFERENCE RATE FDO. IND. INV. EX;QBTC11
QR CME CF ETHER REFERENCE RATE FDO DE IND IE;QETH11
SAFRA ETF MULHERES NA LIDERANÇA FDO DE ÍND AÇÕES;ELAS11
SAFRA IBOVESPA FUNDO DE ÍNDICE;BOVS11
TREND ETF CRSP U.S. LARGE CAP FDO INV IND;USAL11
TREND ETF FTSE US REITS FUNDO DE INVEST DE ÍNDICE;URET11
TREND ETF IBOVESPA FUNDO DE ÍNDICE;BOVX11
