Razão Social,codigo
 CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB,CCME11
 INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO,ITIT11
 JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII,JASC11
 LAVOURA FUNDO DE INVESTIMENTO IMOBILIÁRIO,LAVF11
AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.,AFHI11
ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO,AFOF11
ALIANZA MULTIOFFICES  - FDO. INV. IMOB,MTOF11
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,ALZR11
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOB,AURB11
AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.,AIEC11
BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII,BCRI11
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,BNFS11
BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIÁRIO,BZEL11
BASÍLICA PARTNERS LED CORPORATE FDO INV IMOB FII,BPLC11
BB FDO INV IMOB PROGRESSIVO,BBFI11
BB FUNDO DE FUNDOS - FDO. INV. IMOB.,BBFO11
BB PROGRESSIVO II FDO INV IMOB - FII,BBPO11
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII,BBIM11
BB RENDA CORPORATIVA FDO INV IMOB - FII,BBRC11
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII,RDPD11
BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII,RNDP11
BLUECAP RENDA LOG. FDO INV. IMOB. - FII,BLCP11
BLUEMACAW CATUAÍ TRIPLE A FDO DE INV IMOB,BLCA11
BLUEMACAW CRÉDITO IMOBILIÁRIO - FDO. INV. IMOB.,BLMC11
BLUEMACAW LOGÍSTICA FDO. INVEST. IMOB.,BLMG11
BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.,BLMO11
BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.,BLMR11
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,BCIA11
BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB,BREV11
BRAZIL REALTY FDO INV IMOB,BZLI11
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,CARE11
BRESCO LOGÍSTICA - FDO INV IMOB,BRCO11
BRIO CRÉDITO ESTRUTURADO - FDO. INVEST. IMOB.,BICE11
BRIO MULTIESTRATÉGIA FDO INV IMOB,BIME11
BRIO REAL ESTATE II - FDO INV IMOB,BRIM11
BRIO REAL ESTATE III FDO DE INVEST. IMOB.,BRIP11
BRIO REAL ESTATE IV - FUNDO DE INVESTIMENTO IMOB,BIPD11
BS2 ALLINVESTMENTS FDO DE INV IMOB,LLAO11
BTG PACTUAL LOGISTICA FDO INV IMOB - FII,BTLG11
BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO,BTWR11
BTSP I FDO. INVEST. IMOB - FII,BTSG11
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,BTSI11
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,CRFF11
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII,CXRI11
CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,CPFF11
CAPITANIA SECURITIES II FDO INV IMOB - FII,CPTS11
CARTESIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVEST,CACR11
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII,CBOP11
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,CFHI11
CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB,CJCT11
CONSTANTINOPLA RECEBÍVEIS IMOBILIÁRIOS FII,CTNP11
CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,CORM11
CSHG IMOB. FOF - FDO INV. IMOB. - FII,HGFF11
CSHG LOGÍSTICA FDO INV IMOB - FII,HGLG11
CSHG PRIME OFFICES FDO INV IMOB - FII,HGPO11
CSHG REAL ESTATE FDO INV IMOB - FII,HGRE11
CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII,HGCR11
CSHG RENDA URBANA - FDO INV IMOB - FII,HGRU11
CSHG RESIDENCIAL FDO DE INV IMOB - FII,HGRS11
CVPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI,CVPR11
CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,CYCR11
CYRELA DESENVOLVIMENTO LOGÍSTICO FDO INV IMOB,CYLD11
DEL MONTE AJAX FDO INV IMOB - FII,DLMT11
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB,DPRO11
DEVANT RECEBÍVEIS IMOBILIÁRIOS FDO. INVEST. IMOB.,DEVA11
DIAMANTE FDO INV IMOB,DAMT11
DOVEL FDO INV IMOB,DOVL11
ENERGY RESORT FDO. INVEST. IMOB.,EGYR11
EQI RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOBILIÁRIO,EQIR11
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB,ERCR11
EUROPA 105 - FDO INV IMOB,ERPA11
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO,KEVE11
EVEN PERMUTA KINEA FII - FDO INV IMOB,KINP11
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,EXES11
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.,FLCR11
FATOR VERITA FDO INV IMOB - FII,VRTA11
FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,BMII11
FDO DE INV IMOB LEBLON REALTY DESENVOLVIMENTO I,LRDI11
FDO DE INV IMOB MAUÁ CAPITAL HIGH YIELD - FII,MCHY11
FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID,MMPD11
FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI,IBCR11
FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I,GAME11
FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO,BTCR11
FDO INV IMOB - BTG PACTUAL METROPOLIS,MTRS11
FDO INV IMOB - FII ANCAR IC,ANCR11
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL,FAED11
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS,BMLC11
FDO INV IMOB - FII BRLPROP,BPRP11
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BRCR11
FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI,FEXC11
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS,BCFF11
FDO INV IMOB - FII CAMPUS FARIA LIMA,FCFL11
FDO INV IMOB - FII CENESP,CNES11
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES,CEOC11
FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO,FAMB11
FDO INV IMOB - FII EDIFÍCIO GALERIA,EDGA11
FDO INV IMOB - FII ELDORADO,ELDO11
FDO INV IMOB - FII FLORIPA SHOPPING,FLRP11
FDO INV IMOB - FII HOSPITAL DA CRIANÇA,HCRI11
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES,NSLU11
FDO INV IMOB - FII HOTEL MAXINVEST,HTMX11
FDO INV IMOB - FII MAX RETAIL,MAXR11
FDO INV IMOB - FII NOVO HORIZONTE,NVHO11
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER,PQDP11
FDO INV IMOB - FII PATEO BANDEIRANTES,PATB11
FDO INV IMOB - FII RBR DESENVOLVIMENTO,RBRM11
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE,RBRR11
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,RECR11
FDO INV IMOB - FII REC RENDA IMOBILIARIA,RECT11
FDO INV IMOB - FII SHOPPING JARDIM SUL,JRDM11
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO,SHDP11
FDO INV IMOB - FII SIA CORPORATE,SAIC11
FDO INV IMOB - FII TB OFFICE,TBOF11
FDO INV IMOB - FII TORRE ALMIRANTE,ALMI11
FDO INV IMOB - FII TORRE NORTE,TRNT11
FDO INV IMOB - FII VILA OLÍMPIA CORPORATE,VLOL11
FDO INV IMOB - NCH EQI HIGH YIELD RECEBÍVEIS IMOB,NCHB11
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS,OUFF11
FDO INV IMOB - OURINVEST RE I,WTSP11
FDO INV IMOB - V2 PROPERTIES,VVPR11
FDO INV IMOB - VBI LOGÍSTICO,LVBI11
FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,BARI11
FDO INV IMOB BR HOTEIS - FII,BRHT11
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,BPFF11
FDO INV IMOB BRASIL VAREJO - FII,BVAR11
FDO INV IMOB BTG PACTUAL SHOPPINGS,BPML11
FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS,BTRA11
FDO INV IMOB CAIXA CARTEIRA IMOBILIÁRIA,CXCI11
FDO INV IMOB CAIXA CEDAE,CXCE11
FDO INV IMOB CAIXA SEQ LOGÍSTICA RENDA,CXTL11
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL,CTXT11
FDO INV IMOB CJ - FII,CJFI11
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FLMA11
FDO INV IMOB EDIFÍCIO OURINVEST,EDFO11
FDO INV IMOB EUROPAR,EURO11
FDO INV IMOB GENERAL SEVERIANO - FII,GESE11
FDO INV IMOB GRAND PLAZA SHOPPING,ABCP11
FDO INV IMOB GREEN TOWERS,GTWR11
FDO INV IMOB HABITAT I,HBTT11
FDO INV IMOB HOSPITAL UNIMED CAMPINA GRANDE,HUCG11
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,HUSC11
FDO INV IMOB INDUSTRIAL DO BRASIL,FIIB11
FDO INV IMOB INFRA REAL ESTATE - FII,FINF11
FDO INV IMOB MEMORIAL OFFICE,FMOF11
FDO INV IMOB MERCANTIL DO BRASIL - FII,MBRF11
FDO INV IMOB MOGNO FUNDO DE FUNDOS,MGFF11
FDO INV IMOB MV9 - FII,MVFI11
FDO INV IMOB NESTPAR - FII,NPAR11
FDO INV IMOB OURINVEST LOGÍSTICA,OULG11
FDO INV IMOB PANAMBY,PABY11
FDO INV IMOB PEDRA NEGRA RENDA IMOB,FPNG11
FDO INV IMOB POLO ESTOQUE II - FII,ESTQ11
FDO INV IMOB POLO SHOPPING INDAIATUBA,VPSI11
FDO INV IMOB PROJETO ÁGUA BRANCA,FPAB11
FDO INV IMOB RBR CREDITO IMOB ESTRUTURADO,RBRY11
FDO INV IMOB RBR PROPERTIES - FII,RBRP11
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,RCRB11
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,RBED11
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,RBVA11
FDO INV IMOB RIO NEGRO - FII,RNGO11
FDO INV IMOB SÃO FERNANDO,SFND11
FDO INV IMOB SC 401,FISC11
FDO INV IMOB SCP,SCPF11
FDO INV IMOB SDI RIO BRAVO RENDA LOGISTICA - FII,SDIL11
FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS,SHPH11
FDO INV IMOB TG ATIVO REAL,TGAR11
FDO INV IMOB THE ONE,ONEF11
FDO INV IMOB VEREDA - FII,VERE11
FDO INV IMOB VIA PARQUE SHOPPING - FII,FVPQ11
FDO INV IMOB VIDA NOVA - FII,FIVN11
FDO INV IMOB VOTORANTIM LOGISTICA,VTLT11
FDO INV IMOB VOTORANTIM SECURITIES,VSEC11
FDO INV IMOB VOTORANTIM SHOPPING,VSHO11
FDO INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS,IDFI11
FDO INV. IMOB. FOF INTEGRAL BREI,IBFF11
FDO INV. IMOB. PLURAL RECEBIVEIS,PLCR11
FDO INV. IMOB. PLUS,VTPL11
FDO INV. IMOB. REC LOGISTICA,RELG11
FDO INV. IMOB. VBI CRI,CVBI11
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,MCCI11
FDO INVEST IMOB GRAND PLAZA MALL,FGPM11
FDO. INV. IMOB. A - TOWN,ATWN11
FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,ARRI11
FDO. INV. IMOB. BTG PACTUAL AGRO LOGÍSTICA,BTAL11
FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS,CXCO11
FDO. INV. IMOB. HOUSI,HOSI11
FDO. INV. IMOB. MOGNO HOTEIS,MGHT11
FDO. INV. IMOB. REC FUNDO DE FUNDOS,RECX11
FDO. INV. IMOB. VBI PRIME PROPERTIES,PVBI11
FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS,DVFF11
FDO. INVEST. IMOB. MOGNO CRI HIGH GRADE,MGCR11
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,RFOF11
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V,VTPA11
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII,VTXI11
FDO.INVEST. IMOB. MULTI RENDA URBANA,HBRH11
FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,IRDM11
FRAM CAPITAL SBCLOG FDO. INV. IMOB.,SBCL11
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO,FRHY11
FUND. INVEST. IMOB. SUCCESPAR VAREJO,SPVJ11
FUNDO DE FDO INV IMOB KINEA FII,KFOF11
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA,OURE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BLUE RECEBÍVEI,BLUR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVELOPMENT V1,LKDV11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENV,RBRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,FATN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II,BRLA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,CXAG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA,HBCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL,MINT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,RZTR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I,ROOF11
G5 CIDADE NOVA FDO. INVEST. IMOB.,TCIN11
GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.,GCFF11
GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FDO. INV. IMOB,GCRI11
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,GZIT11
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,GSFI11
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV IMOB.,FIGS11
GGR COVEPI RENDA FDO INV IMOB,GGRC11
GRUPO RCFA FDO INV IMOB,RCFA11
GTIS BRAZIL LOGISTICS FDO. INV. IMOB.,GTLG11
GUARDIAN LOGISTICA FDO. INVEST. IMOB.,GALG11
HABITAT II - FDO INV IMOB,HABT11
HAZ FDO INV IMOB - FII,ATCR11
HECTARE CE - FDO INV IMOB,HCTR11
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.,HCST11
HECTARE PROPERTIES FDO DE INV IMOB - FII,HCPR11
HECTARE RECEBÍVEIS HIGH GRADE FDO. INV. IMOB.,HCHG11
HEDGE AAA FDO. INV. IMOB.,HAAA11
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,ATSA11
HEDGE BRASIL SHOPPING FDO INV IMOB,HGBS11
HEDGE DESENVOLVIMENTO LOGÍSTICO FDO INV IMOB,HDEL11
HEDGE LOGÍSTICA FDO. INV. IMOB.,HLOG11
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB,HDOF11
HEDGE REALTY DEVELOPMENT FDO INV IMOB,HRDF11
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.,HREC11
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO,SEED11
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,HPDP11
HEDGE TOP FOFII 3 FDO INV IMOB,HFOF11
HGI CRÉDITOS IMOBILIÁRIOS FDO. INV. IMOB.,HGIC11
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI,HSAF11
HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,HSLG11
HSI MALL FDO INV IMOB,HSML11
HSI RENDA IMOB FDO INV IMOB,HSRE11
HUSI FDO INV. IMOB.,HUSI11
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO,ITIP11
INTER TÍTULOS IMOB. FDO INV. IMOB.,BICR11
IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO,IRIM11
JACARANDÁ I FUNDO DE INVESTIMENTO IMOBILIÁRIO -FII,JCDA11
JBFO FOF FDO INV. IMOB.,JBFO11
JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,VJFD11
JFL LIVING FDO. INV. IMOB.,JFLL11
JPP ALLOCATION MOGNO - FDO INV IMOB,JPPA11
JPP CAPITAL FDO INV IMOB - FII,JPPC11
JS ATIVOS FINANCEIROS FDO DE INV IMOBILIÁRIO,JSAF11
JS REAL ESTATE MULTIGESTÃO - FII,JSRE11
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,JTPR11
KILIMA FIC FDO. IMOB. SUNO 30,KISU11
KILIMA VOLKANO RECEBÍVEIS IMOB FDO DE INV IMOB,KIVO11
KINEA CREDITAS FDO DE INV IMOBILIÁRIO - FII,KCRE11
KINEA HIGH YIELD CRI FDO INV IMOB - FII,KNHY11
KINEA II REAL ESTATE EQUITY FDO INV IMOB,KNRE11
KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII,KNIP11
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,KNRI11
KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,KNCR11
KINEA SECURITIES FDO. DE INV. IMOB. - FII,KNSC11
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,LPLP11
LATERES FDO INV IMOB - FII,LATR11
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,LASC11
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.,LSPA11
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB,LIFE11
LOFT I - FDO INV IMOB,LOFT11
LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,LFTT11
LOGCP INTER FDO INV IMOB,LGCP11
